Title,Worldwide_gross($),Budget(in$),IMDB,DURATION-Minutes,Year,Rotten_Tomatoes(%),Rating(Stars),CRBCR3ting,Popularity(in%),Picture Colour,HIT/FLOP
The Ten Commandments,"9,00,66,230","1,32,70,000",8.2,240,1956,56,4,2,67,1,H
The Bridge on the River Kwai,"3,06,00,000","28,40,000",6.9,167,1957,43,3.5,2,73,1,F
South Pacific,"3,00,00,000","56,10,000",8.1,171,1958,76,4,2,78,1,H
Ben-Hur,"9,00,00,000","1,59,00,000",7.2,150,1959,67,3.5,3,81,1,H
Swiss Family Robinson,"3,00,00,000","40,00,000",7.9,126,1960,76,4,2,57,1,H
Spartacus,"6,00,00,000","1,02,84,014",8.5,198,1960,43,4.5,1,68,1,F
Psycho,"5,00,00,000","8,00,000",7.2,109,1960,65,3.5,2,66,1,H
One Hundred and One Dalmatians,"21,58,80,212","36,00,000",7.6,79,1961,75,4,1,76,1,H
West Side Story,"10,50,00,000","70,00,000",8.3,153,1961,86,4,2,83,1,H
Lawrence of Arabia,"7,73,24,852","1,38,00,000",7.1,228,1962,76,3.5,2,71,1,H
How the West Was Won,"3,50,00,000","1,44,83,000",7.8,180,1962,76,4,3,78,1,H
The Longest Day,"3,32,00,000","86,00,000",7,177,1962,75,3.5,1,70,1,H
Cleopatra,"4,03,00,000","3,11,15,000",7.5,320,1963,61,3.5,1,75,1,H
From Russia with Love,"7,89,00,000","20,00,000",7.9,118,1963,61,4,1,79,1,H
My Fair Lady,"5,50,00,000","1,70,00,000",7.8,172,1964,61,4,1,78,1,H
Goldfinger,"12,49,00,000","30,00,000",7.8,112,1964,65,4,3,80,1,H
Mary Poppins,"4,40,00,000","52,00,000",8,140,1964,64,4,2,70,1,H
The Sound of Music,"28,62,14,076","80,00,000",6.2,174,1965,42,3,2,62,2,F
The Bible: In the Beginning,"2,53,00,000","1,80,00,000",6.5,174,1966,41,3,3,65,2,F
Hawaii,"3,45,62,222","1,50,00,000",8.1,189,1966,82,4,2,81,2,H
Who's Afraid of Virginia Woolf?,"3,00,00,000","76,13,000",7.6,132,1966,72,4,2,76,2,H
The Jungle Book,"17,08,00,000","39,00,000",8,111,1967,52,4,2,80,2,H
The Graduate,"8,50,00,000","31,00,000",8.3,106,1967,62,4,2,83,2,H
2001: A Space Odyssey,"13,80,00,000","1,03,00,000",7.5,161,1968,53,3.5,2,75,2,H
Funny Girl,"8,00,00,000","88,00,000",8.1,155,1968,54,4,3,62,2,H
Butch Cassidy and the Sundance Kid,"15,23,08,525","66,00,000",6.9,113,1969,41,3.5,1,80,2,F
Love Story,"8,00,00,000","22,60,000",6.6,124,1970,42,3.5,2,70,2,F
Airport,"7,50,00,000","1,00,00,000",7.8,137,1970,56,4,3,71,2,H
The French Connection,"7,50,00,000","33,00,000",8,104,1971,65,4,2,60,2,H
Fiddler on the Roof,"4,94,00,000","90,00,000",6.7,201,1971,31,3.5,1/.3,79,2,F
Diamonds Are Forever,"11,60,00,000","72,00,000",9.2,125,1971,67,4.5,2,79,2,H
The Godfather,"27,60,66,044","62,00,000",8,178,1972,76,4,2,76,2,H
The Exorcist,"41,30,71,948","1,00,00,000",8.3,131,1973,64,4,2,68,2,H
The Sting,"11,50,00,000","55,00,000",6.9,133,1973,50,3.5,1,73,2,F
The Towering Inferno,"13,97,00,000","1,40,00,000",7.8,129,1974,63,4,2,83,2,H
Blazing Saddles,"8,00,00,000","26,00,000",8,165,1974,65,4,3,80,2,H
Jaws,"47,06,53,591","90,00,000",8.1,95,1975,73,4,2,76,2,H
Rocky,"22,50,00,000","10,75,000",8.7,130,1976,65,4.5,2,78,2,H
Star Wars,"77,53,98,007","1,12,93,151",7.2,122,1977,59,3.5,2,64,2,H
Grease,"39,49,54,752","60,00,000",6.3,135,1978,34,3,2,63,2,F
Moonraker,"21,03,00,000","3,10,00,000",7.2,110,1979,80,3.5,2,68,2,H
Rocky II,"20,01,82,289","70,00,000",8.8,126,1979,69,4.5,2,79,2,H
The Empire Strikes Back,"54,79,69,004","2,30,00,000",8.5,120,1980,60,4.5,2,81,2,H
Raiders of the Lost Ark,"38,99,25,971","1,80,00,000",7.9,127,1981,59,4,3,86,2,H
E.T. the Extra-Terrestrial,"79,29,10,554","1,05,00,000",8.4,115,1982,58,4.5,1,69,2,H
Return of the Jedi,"47,51,06,177","3,25,00,000",7.6,121,1983,54,4,1,87,2,H
Indiana Jones and the Temple of Doom,"33,31,07,271","2,70,00,000",8.5,136,1984,55,4.5,1,71,2,H
Back to the Future,"38,90,53,797","1,90,00,000",6.9,171,1985,42,3.5,2,60,2,F
Top Gun,"35,68,30,601","1,40,00,000",6.9,120,1986,41,3.5,3,65,2,F
Fatal Attraction,"32,01,45,905","1,40,00,000",8,110,1987,67,4,2,75,2,H
Rain Man,"35,48,25,476","3,00,00,000",8.3,119,1988,69,4,2,82,2,H
Indiana Jones and the Last Crusade,"47,41,71,806","3,60,00,000",7,140,1989,61,3.5,2,78,2,H
Ghost,"50,57,02,423","2,20,00,000",8.5,128,1990,61,4.5,1,73,2,H
Terminator 2: Judgment Day,"51,98,43,975","9,40,00,000",8,155,1991,67,4,3,76,2,H
